modelYear,bt,mileage,transmission,model,variantName,ft,km,price
0.8947368421052602,7,0.4104560622914349,0,85,1581,4,0.0036363636363636,0.1283778359949473
0.8157894736842053,7,0.3307378568780126,0,147,815,1,0.0106545454545454,0.1388164247854269
0.8947368421052602,7,0.4104560622914349,0,85,1581,4,0.0036363636363636,0.1283778359949473
0.7894736842105203,2,0.5939933259176864,0,160,1818,4,0.0118212727272727,0.0474787728687298
0.6052631578947327,8,0.2269187986651835,0,14,671,1,0.0145454545454545,0.0605270088568294
0.9210526315789452,7,0.3492769744160178,0,107,1163,4,0.0036363636363636,0.167522543959246
0.7631578947368425,8,0.375231738969225,0,251,1089,1,0.006608909090909,0.1701321911568659
0.6315789473684177,2,0.4923989618094179,1,89,1643,4,0.0145454545454545,0.0238875622022457
0.7631578947368425,7,0.228401928068224,1,236,1398,4,0.0151625454545454,0.0636585854939733
0.6315789473684177,2,0.4923989618094179,1,89,1643,4,0.0145454545454545,0.0238875622022457
0.8421052631578902,2,0.6418242491657398,1,156,1806,4,0.0094916363636363,0.0380840429572981
0.7105263157894726,2,0.367816091954023,1,90,149,4,0.02,0.0292112424853904
0.7631578947368425,2,0.5550611790878754,1,155,1806,4,0.0054205454545454,0.0267059811756752
0.8684210526315752,2,0.4108268446421951,1,54,180,4,0.0054545454545454,0.0500884200663497
0.9210526315789452,2,0.5120504263997034,0,172,67,4,0.0024263636363636,0.074097174284453
0.7631578947368425,2,0.4382647385984428,1,77,1640,4,0.0136363636363636,0.0395454453879652
0.6842105263157876,2,0.4923989618094179,1,89,1640,4,0.0137314545454545,0.0304638731402479
0.7894736842105203,7,0.3307378568780126,1,147,1863,1,0.0085454545454545,0.1309874831925672
0.9210526315789452,4,0.4790507971820542,1,243,1466,4,0.005136909090909,0.0729489295175002
0.8157894736842053,7,0.4668149796069709,1,73,376,1,0.009090909090909,0.1294216948739952
0.6578947368421026,2,0.4923989618094179,1,89,1333,4,0.0163636363636363,0.0292112424853904
0.8157894736842053,2,0.4271412680756397,1,90,851,4,0.0095583636363636,0.0633454278302589
0.6578947368421026,8,0.3333333333333334,0,14,674,1,0.0127272727272727,0.1335971303901871
0.7894736842105203,8,0.3826473859844271,1,63,2099,4,0.0112714545454545,0.0680427927859748
0.7368421052631575,2,0.4234334445680386,1,90,1643,4,0.0066107272727272,0.0438252667920619
0.8947368421052602,7,0.367816091954023,1,256,1957,1,0.0127272727272727,0.1502988724549546
0.8421052631578902,8,0.367816091954023,0,86,1782,4,0.0055092727272727,0.1057260983196064
0.6578947368421026,2,0.4923989618094179,1,89,1643,4,0.012,0.0266015952877704
0.8421052631578902,2,0.4271412680756397,1,90,1643,4,0.0101836363636363,0.0684603363375939
0.7631578947368425,7,0.4423433444568039,1,229,1951,1,0.0109090909090909,0.0657463032520692
0.7631578947368425,2,0.6718576195773083,1,179,1765,1,0.0152416363636363,0.0442428103436811
0.9210526315789452,2,0.5532072673340749,0,238,24,4,0.0018181818181818,0.0511322789453977
0.8157894736842053,7,0.4642195031516501,0,236,459,1,0.0063636363636363,0.0944524224258883
0.8947368421052602,8,0.4048943270300334,0,63,2109,4,0.0092938181818181,0.1047866253284632
0.8157894736842053,8,0.521319985168706,1,249,327,1,0.0145454545454545,0.0500884200663497
